file,original_file,date,file_type,min_temp,max_temp,mean_temp,std_temp,valid_pixels,total_pixels,coverage,city
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-289_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024289.h25v06.061.2024298145441.hdf,2024-289,HDF,-22.48999999999998,39.450000000000045,26.0567289279625,6.8552800215463865,1431601,1440000,0.9941673611111111,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-281_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024281.h25v06.061.2024290063627.hdf,2024-281,HDF,-16.46999999999997,44.110000000000014,26.486871549802743,6.435089968079012,1351372,1440000,0.9384527777777778,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-273_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024273.h25v06.061.2024283220631.hdf,2024-273,HDF,-14.089999999999977,39.71000000000004,25.810631130864287,6.738229873703716,1342796,1440000,0.9324972222222222,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-265_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024265.h25v06.061.2024275154714.hdf,2024-265,HDF,-17.309999999999974,41.43000000000001,25.868385813358355,7.568870813841986,883479,1440000,0.6135270833333333,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-257_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024257.h25v06.061.2024268161510.hdf,2024-257,HDF,-15.70999999999998,44.410000000000025,25.45404303804047,5.937946682809674,1270411,1440000,0.8822298611111111,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-249_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024249.h25v06.061.2024258082615.hdf,2024-249,HDF,-15.16999999999996,41.53000000000003,23.39478625084824,8.249283697562467,756003,1440000,0.5250020833333333,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-241_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024241.h25v06.061.2024250054737.hdf,2024-241,HDF,-13.96999999999997,39.670000000000016,25.08332685364669,6.673556525747013,1088530,1440000,0.7559236111111111,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-233_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024233.h25v06.061.2024247152831.hdf,2024-233,HDF,-16.029999999999973,38.410000000000025,21.210959843181,8.553755757525726,534629,1440000,0.3712701388888889,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-225_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024225.h25v06.061.2024240012626.hdf,2024-225,HDF,-12.109999999999957,41.05000000000001,23.967695001345668,7.134459922341154,646534,1440000,0.4489819444444444,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-217_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024217.h25v06.061.2024228062755.hdf,2024-217,HDF,-18.369999999999976,44.23000000000002,15.158943986780251,9.717949766782674,286843,1440000,0.1991965277777777,pune
